transcribed_sentence,timestamp,speaker,pitch,tone,pace,cuss words,response time
" Hello future, hello future, hello ma'am, hello good morning, welcome to S.J. Holidays.",0:00:00 - 0:00:12,Unknown,224.20899706591558,POSITIVE,1.076158940397351,None,0.0
 How can I help you?,0:00:12 - 0:00:13,Speaker SPEAKER_00,236.32372163013986,NEGATIVE,5.0,None,0.0
 I'm planning for a trip with my husband.,0:00:13 - 0:00:17,Unknown,216.85282415432872,POSITIVE,1.9999999999999991,None,0.0
 Okay.,0:00:17 - 0:00:18,Unknown,,POSITIVE,1.0,None,0.0
 So can you give me some suggestions to plan the trip?,0:00:18 - 0:00:22,Unknown,219.95178509991388,NEGATIVE,2.272727272727273,None,0.0
 Can you guide me?,0:00:22 - 0:00:24,Speaker SPEAKER_00,200.95627919682357,POSITIVE,2.0,None,0.0
" Yes, of course, but I need some information first.",0:00:24 - 0:00:29,Unknown,217.4498657083561,NEGATIVE,2.0454545454545463,None,0.0
 How many days trip you have planned?,0:00:29 - 0:00:32,Speaker SPEAKER_00,248.9139767891829,NEGATIVE,2.1874999999999982,None,0.0
 I'm planning to go for three days.,0:00:32 - 0:00:35,Speaker SPEAKER_00,213.31012824985942,NEGATIVE,2.0588235294117654,None,0.0
" Three days, okay.",0:00:35 - 0:00:37,Speaker SPEAKER_00,210.8647951068383,POSITIVE,1.8292682926829262,None,0.0
 What type of place you like to go?,0:00:37 - 0:00:40,Speaker SPEAKER_00,255.86490753035852,POSITIVE,2.7027027027027017,None,0.0
" I'm talking about climate, especially.",0:00:40 - 0:00:45,Speaker SPEAKER_00,223.67692832257592,POSITIVE,1.008064516129032,None,0.0
" I need a cool climate, not very hot.",0:00:45 - 0:00:48,Speaker SPEAKER_00,223.1751325160431,NEGATIVE,2.4691358024691397,None,0.0
 Okay.,0:00:48 - 0:00:49,Unknown,207.32041872578975,POSITIVE,1.0,None,0.0
 Then I suggest you go to a YNAD that there's beautiful places in Kerala.,0:00:49 - 0:00:55,Speaker SPEAKER_00,228.8463130328766,POSITIVE,2.258064516129031,None,0.0
 It's a chill climate.,0:00:55 - 0:00:58,Speaker SPEAKER_00,221.56921751498524,NEGATIVE,1.388888888888891,None,0.0
 You hear about that place?,0:00:58 - 0:01:00,Speaker SPEAKER_00,271.7688496157745,POSITIVE,2.5,None,0.0
" Yeah, I have heard and I'm sure that it is near to Bangalore.",0:01:00 - 0:01:05,Unknown,238.14207023466759,POSITIVE,2.754237288135594,None,0.0
" Kerala, I don't know.",0:01:05 - 0:01:07,Speaker SPEAKER_00,203.8459789354536,NEGATIVE,2.0,None,0.0
" Yeah, it's Kerala only.",0:01:07 - 0:01:10,Unknown,203.3058499448863,POSITIVE,1.1904761904761907,None,0.0
" Okay, okay.",0:01:10 - 0:01:12,Unknown,173.60047654132757,POSITIVE,1.3513513513513478,None,0.0
" So can you say me how to go there, will you arrange any travels or how your holidays",0:01:12 - 0:01:20,Unknown,222.01748006553862,POSITIVE,2.142857142857145,None,0.0
 is working?,0:01:20 - 0:01:21,Speaker SPEAKER_00,239.3374927793347,NEGATIVE,2.0,None,0.0
 How?,0:01:21 - 0:01:22,Speaker SPEAKER_00,204.90179244446512,NEGATIVE,1.0,None,0.0
" Yeah, yes ma'am.",0:01:22 - 0:01:24,Unknown,277.2588887449013,POSITIVE,1.6304347826086927,None,0.0
" We have three packages, two days package and four days package and one days package.",0:01:24 - 0:01:33,Speaker SPEAKER_00,222.58263260470835,POSITIVE,1.6741071428571415,None,0.0
 Which one you want?,0:01:33 - 0:01:36,Speaker SPEAKER_00,207.85235463817588,NEGATIVE,1.219512195121956,None,0.0
 I prefer four days package.,0:01:36 - 0:01:39,Unknown,246.8577633181865,POSITIVE,2.0161290322580614,None,0.0
 Four days package.,0:01:39 - 0:01:40,Speaker SPEAKER_00,225.60882348053624,POSITIVE,1.8292682926829262,None,0.0
 Then you don't worry.,0:01:40 - 0:01:42,Speaker SPEAKER_00,246.49798985385675,POSITIVE,2.040816326530619,None,0.0
" Our agency will help you, okay.",0:01:42 - 0:01:45,Speaker SPEAKER_00,242.22865994638147,POSITIVE,2.727272727272724,None,0.0
 They will guide you and they will book the hotels and what are the tourist places or,0:01:45 - 0:01:52,Speaker SPEAKER_00,219.79050880977684,POSITIVE,2.1683673469387745,None,0.0
 there in the YNAD.,0:01:52 - 0:01:55,Speaker SPEAKER_00,212.21844106584834,POSITIVE,1.6949152542372885,None,0.0
 They will explain to you.,0:01:55 - 0:01:57,Speaker SPEAKER_00,205.68459804803098,POSITIVE,2.1929824561403497,None,0.0
 Okay.,0:01:57 - 0:01:58,Unknown,,POSITIVE,1.0,None,0.0
" Now can you give me some explanation on how the trip will be, what are the sightseeing",0:01:58 - 0:02:03,Speaker SPEAKER_00,220.49376263456602,POSITIVE,3.4552845528455274,None,0.0
 there?,0:02:03 - 0:02:04,Speaker SPEAKER_00,167.00290987545176,NEGATIVE,1.0,None,0.0
" Yeah, of course.",0:02:04 - 0:02:08,Unknown,200.18672047884783,POSITIVE,0.7009345794392545,None,0.0
 There are more sight visiting places or there.,0:02:08 - 0:02:13,Speaker SPEAKER_00,224.5015079683102,POSITIVE,1.5873015873015808,None,0.0
 One is a zip line.,0:02:13 - 0:02:15,Speaker SPEAKER_00,207.09682309040093,NEGATIVE,3.2894736842105656,None,0.0
 It's the longest zip line placed in Kerala only.,0:02:15 - 0:02:20,Speaker SPEAKER_00,212.20061753027116,NEGATIVE,1.6544117647058831,None,0.0
 And then one trekking place is there.,0:02:20 - 0:02:24,Speaker SPEAKER_00,222.62956624287372,POSITIVE,2.134146341463414,None,2.842170943040401e-14
 Another one is waterfalls.,0:02:24 - 0:02:27,Unknown,218.11630943538458,POSITIVE,1.1904761904761958,None,0.0
" Main, Sushipara waterfalls is there.",0:02:27 - 0:02:30,Speaker SPEAKER_00,219.03057196934682,POSITIVE,1.6891891891891846,None,0.0
 It's a really very chill place.,0:02:30 - 0:02:36,Speaker SPEAKER_00,219.0913394473829,NEGATIVE,1.0204081632653068,None,0.0
 In that place you should walk for nearly two to three kilometers.,0:02:36 - 0:02:44,Speaker SPEAKER_00,231.61241196285414,NEGATIVE,1.5306122448979584,None,0.0
 Okay.,0:02:44 - 0:02:45,Speaker SPEAKER_00,251.98594609529886,POSITIVE,1.0,None,0.0
